0 
6 0 
6 1 0 
4 2 3 0 
4 4 3 2 0 
4 2 3 4 5 0 
4 4 3 5 4 2 0 
6 2 3 4 5 2 4 0 
6 3 2 5 4 3 3 1 0 
4 4 5 2 3 4 5 2 3 0 
4 5 4 3 2 5 4 4 3 2 0 
1 6 6 4 4 4 4 6 6 4 4 0 
6 4 5 5 6 4 6 2 3 3 5 6 0 
5 5 6 4 5 5 6 3 4 2 4 5 2 0 
6 1 2 3 5 3 5 3 4 5 6 6 3 4 0 
4 3 4 5 6 1 3 3 4 5 6 4 3 4 2 0 
4 3 4 1 3 5 6 5 6 3 4 4 4 3 2 4 0 
